TenPct_AGthighX, TenPct_AGthighY, TenPct_AGthighZ, TwentyFivePct_AGthighX, TwentyFivePct_AGthighY, TwentyFivePct_AGthighZ, FiftyPct_AGthighX, FiftyPct_AGthighY, FiftyPct_AGthighZ, SeventyFivePct_AGthighX, SeventyFivePct_AGthighY, SeventyFivePct_AGthighZ, NinetyPct_AGthighX, NinetyPct_AGthighY, NinetyPct_AGthighZ
-8.83E-01,-1.47E+00,-9.19E-01,-5.95E-01,-1.06E+00,-6.79E-01,-3.41E-01,-6.50E-01,-2.77E-01,-1.31E-01,-8.94E-02,-3.24E-02,1.75E-02,2.41E-01,1.53E-01
-7.43E-01,-1.44E+00,-8.95E-01,-5.01E-01,-1.02E+00,-6.59E-01,-3.26E-01,-7.12E-01,-2.96E-01,-1.77E-01,-1.59E-01,-1.35E-01,-5.26E-02,2.41E-01,1.87E-02
-6.61E-01,-1.38E+00,-3.83E-01,-4.15E-01,-1.13E+00,-2.41E-01,-2.71E-01,-9.30E-01,-1.15E-01,-1.54E-01,-7.35E-01,1.09E-02,-3.70E-02,-4.51E-01,1.13E-01
-6.38E-01,-1.37E+00,-3.59E-01,-4.27E-01,-1.09E+00,-2.22E-01,-2.91E-01,-8.99E-01,-1.07E-01,-1.97E-01,-6.96E-01,6.60E-02,-9.55E-02,-4.90E-01,2.87E-01
-6.10E-01,-1.36E+00,-9.78E-01,-4.54E-01,-9.80E-01,-8.01E-01,-3.22E-01,-6.38E-01,-3.56E-01,-1.89E-01,3.12E-02,-1.47E-01,-4.09E-02,2.88E-01,2.27E-02
-7.51E-01,-1.16E+00,-9.86E-01,-5.25E-01,-8.40E-01,-8.48E-01,-3.61E-01,-3.77E-01,-6.59E-01,-2.20E-01,1.09E-01,-2.37E-01,-1.07E-01,3.27E-01,-1.03E-01
-6.30E-01,-1.16E+00,-7.02E-01,-5.83E-01,-7.90E-01,-6.87E-01,-5.52E-01,-4.51E-01,-5.21E-01,-2.20E-01,-4.20E-01,-2.37E-01,2.92E-02,3.70E-01,-9.15E-02
-4.00E-01,1.56E-02,-9.47E-01,-3.88E-01,1.95E-02,-9.35E-01,-3.76E-01,2.34E-02,-9.23E-01,-3.61E-01,3.12E-02,-9.15E-01,-3.41E-01,3.50E-02,-9.03E-01
-4.04E-01,3.90E-03,-9.58E-01,-3.84E-01,1.17E-02,-9.39E-01,-3.65E-01,1.95E-02,-9.27E-01,-3.41E-01,2.34E-02,-9.19E-01,-3.14E-01,3.50E-02,-9.07E-01
-4.04E-01,7.80E-03,-9.66E-01,-3.76E-01,1.56E-02,-9.47E-01,-3.53E-01,1.95E-02,-9.31E-01,-3.33E-01,2.73E-02,-9.19E-01,-3.06E-01,4.28E-02,-8.99E-01
-5.25E-01,7.80E-03,-9.51E-01,-5.21E-01,1.56E-02,-9.31E-01,-4.93E-01,1.95E-02,-8.76E-01,-3.61E-01,2.34E-02,-8.56E-01,-3.30E-01,3.12E-02,-8.48E-01
-3.84E-01,3.90E-03,-9.78E-01,-3.65E-01,1.17E-02,-9.54E-01,-3.45E-01,1.95E-02,-9.39E-01,-3.18E-01,2.34E-02,-9.27E-01,-2.94E-01,3.89E-02,-9.11E-01
-3.65E-01,3.90E-03,-9.86E-01,-3.37E-01,1.17E-02,-9.62E-01,-3.14E-01,1.95E-02,-9.47E-01,-2.87E-01,2.73E-02,-9.35E-01,-2.71E-01,4.28E-02,-9.19E-01
-4.35E-01,1.17E-02,-9.58E-01,-3.76E-01,1.95E-02,-9.51E-01,-3.26E-01,3.12E-02,-9.27E-01,-3.02E-01,8.99E-01,-1.98E-01,-2.87E-01,9.34E-01,-1.59E-01
-4.23E-01,6.23E-02,-9.51E-01,-4.04E-01,7.01E-02,-9.35E-01,-3.88E-01,8.56E-02,-9.23E-01,-3.72E-01,1.09E-01,-9.07E-01,-3.53E-01,1.36E-01,-8.91E-01
-3.21E+00,-1.47E+00,-2.26E-01,-1.98E+00,-8.83E-01,-1.07E-01,-6.46E-01,-5.99E-01,6.90E-03,1.03E-01,3.85E-01,1.29E-01,7.47E-01,6.65E-01,2.59E-01
-2.91E+00,-1.16E+00,-1.74E-01,-1.76E+00,-7.35E-01,-7.57E-02,-6.07E-01,-3.66E-01,4.24E-02,9.70E-03,4.83E-01,1.61E-01,5.99E-01,8.37E-01,3.26E-01
-2.88E+00,-1.21E+00,-2.22E-01,-1.83E+00,-8.17E-01,-1.03E-01,-7.78E-01,-5.33E-01,-8.70E-03,3.70E-02,3.62E-01,1.09E-01,6.07E-01,6.30E-01,2.63E-01
-2.85E+00,-1.19E+00,-2.73E-01,-1.91E+00,-7.82E-01,-1.35E-01,-7.74E-01,-5.52E-01,-1.27E-02,1.75E-02,2.65E-01,1.09E-01,6.26E-01,5.80E-01,2.51E-01
-2.86E+00,-9.38E-01,-1.86E-01,-1.85E+00,-7.04E-01,-7.97E-02,-8.09E-01,-4.98E-01,4.24E-02,5.26E-02,2.96E-01,1.69E-01,5.83E-01,5.53E-01,3.34E-01
-2.92E+00,-9.76E-01,-1.51E-01,-1.91E+00,-7.43E-01,-6.39E-02,-8.05E-01,-5.29E-01,6.21E-02,4.48E-02,3.50E-01,1.76E-01,6.03E-01,5.80E-01,3.54E-01
-3.00E+00,-1.10E+00,-1.66E-01,-1.81E+00,-7.66E-01,-7.18E-02,-7.86E-01,-5.02E-01,5.82E-02,4.87E-02,3.70E-01,2.16E-01,6.57E-01,6.54E-01,4.05E-01
-2.90E+00,-1.12E+00,-1.23E-01,-1.99E+00,-7.63E-01,-3.63E-02,-8.52E-01,-5.49E-01,8.18E-02,4.87E-02,3.11E-01,2.32E-01,6.57E-01,5.91E-01,3.77E-01
-2.85E+00,-1.15E+00,-1.86E-01,-1.87E+00,-7.55E-01,-7.57E-02,-7.78E-01,-5.25E-01,5.42E-02,9.70E-03,3.04E-01,1.80E-01,6.07E-01,6.23E-01,3.26E-01
-2.91E+00,-1.10E+00,-1.55E-01,-1.92E+00,-7.43E-01,-5.60E-02,-7.66E-01,-4.98E-01,5.03E-02,-1.90E-03,3.77E-01,1.76E-01,5.75E-01,7.08E-01,3.34E-01
